trade_date,close,MA5,MA10,MA20,MA60,MA120,RSI,DIF,DEA,MACD,BB_MID,BB_UPPER,BB_LOWER,BB_WIDTH
2025-12-29,1358.5000,1328.8040,1307.3310,1339.5470,1343.9378,1168.0522,53.4556,-6.6318,-7.5908,1.9181,1339.5470,1434.8996,1244.1944,14.2365
2025-12-30,1415.8000,1344.7600,1321.5190,1343.9005,1345.4762,1175.3390,59.4916,1.1012,-5.8524,13.9071,1343.9005,1444.9539,1242.8471,15.0388
2025-12-31,1355.5500,1350.6300,1325.5140,1345.0630,1345.9853,1182.1122,51.8740,2.3409,-4.2137,13.1093,1345.0630,1446.0895,1244.0365,15.0218
2026-01-05,1390.0000,1364.7480,1335.8140,1346.1130,1346.9388,1189.2372,55.3912,6.0337,-2.1643,16.3959,1346.1130,1448.6128,1243.6132,15.2290
2026-01-06,1383.1000,1380.5900,1347.3240,1347.5180,1349.2058,1196.4005,54.5316,8.3077,-0.0699,16.7551,1347.5180,1451.2931,1243.7429,15.4024
2026-01-07,1394.8800,1387.8660,1358.3350,1346.3720,1351.4187,1203.4080,55.7929,10.9344,2.1310,17.6068,1346.3720,1447.3476,1245.3964,14.9997
2026-01-08,1444.0000,1393.5060,1369.1330,1346.7720,1355.5520,1210.7325,60.6900,16.7861,5.0620,23.4482,1346.7720,1449.2941,1244.2499,15.2249
2026-01-09,1491.0000,1420.5960,1385.6130,1350.2780,1359.7020,1218.5483,64.7174,24.9288,9.0354,31.7869,1350.2780,1467.2486,1233.3074,17.3254
2026-01-12,1509.9900,1444.5940,1404.6710,1356.6765,1363.6352,1226.2967,66.2232,32.5392,13.7361,37.6061,1356.6765,1493.3064,1220.0466,20.1418
2026-01-13,1408.0900,1449.5920,1415.0910,1359.8810,1366.3087,1233.1774,53.1222,30.0021,16.9893,26.0256,1359.8810,1498.2542,1221.5078,20.3508
2026-01-14,1439.1200,1458.4400,1423.1530,1365.2420,1368.9420,1240.3149,55.9782,30.1478,19.6210,21.0536,1365.2420,1507.3094,1223.1746,20.8121
2026-01-15,1415.0000,1452.6400,1423.0730,1372.2960,1369.7093,1247.2566,53.2618,27.9943,21.2957,13.3973,1372.2960,1509.1870,1235.4050,19.9507
2026-01-16,1424.0500,1439.2500,1429.9230,1377.7185,1369.6185,1254.1743,54.1606,26.7100,22.3786,8.6629,1377.7185,1513.7425,1241.6945,19.7463
2026-01-19,1419.6600,1421.1840,1432.8890,1384.3515,1369.9645,1261.0418,53.6219,25.0492,22.9127,4.2731,1384.3515,1514.5629,1254.1401,18.8119
2026-01-20,1343.0400,1408.1740,1428.8830,1388.1035,1366.9318,1267.2318,45.1765,17.3504,21.8002,-8.8996,1388.1035,1508.1243,1268.0827,17.2928
2026-01-21,1353.8700,1391.1240,1424.7820,1391.5585,1363.9850,1272.9032,46.4601,11.9848,19.8371,-15.7047,1391.5585,1502.7047,1280.4123,15.9744
2026-01-22,1353.0000,1378.7240,1415.6820,1392.4075,1361.8920,1278.5199,46.3662,7.5750,17.3847,-19.6195,1392.4075,1502.0163,1282.7987,15.7438
2026-01-23,1334.9900,1360.9120,1400.0810,1392.8470,1359.7918,1283.7217,44.3668,2.5970,14.4272,-23.6604,1392.8470,1501.4034,1284.2906,15.5877
2026-01-26,1300.0000,1336.9800,1379.0820,1391.8765,1357.7585,1288.8492,40.6952,-4.1240,10.7169,-29.6818,1391.8765,1503.5009,1280.2521,16.0394
2026-01-27,1300.8900,1328.5500,1368.3620,1391.7265,1356.5233,1293.7774,40.8293,-9.2717,6.7192,-31.9818,1391.7265,1503.8557,1279.5973,16.1137
2026-01-28,1282.7800,1314.3320,1352.7280,1387.9405,1355.4597,1298.7248,38.9013,-14.6438,2.4466,-34.1809,1387.9405,1509.5094,1266.3716,17.5179
2026-01-29,1252.0100,1294.1340,1336.4290,1379.7510,1353.9998,1303.4160,35.8073,-21.1405,-2.2708,-37.7393,1379.7510,1514.7440,1244.7580,19.5677
2026-01-30,1258.8900,1278.9140,1319.9130,1374.9180,1352.5147,1308.1151,37.0136,-25.4407,-6.9048,-37.0718,1374.9180,1520.0962,1229.7398,21.1181
2026-02-02,1242.0000,1267.3140,1302.1470,1367.5180,1348.5480,1312.6789,35.2618,-29.8672,-11.4973,-36.7399,1367.5180,1524.0992,1210.9368,22.9000
2026-02-03,1128.0000,1232.7360,1280.6430,1354.7630,1343.4730,1316.2206,26.2360,-42.0889,-17.6156,-48.9467,1354.7630,1544.1282,1165.3978,27.9555
2026-02-04,1068.0000,1189.7800,1252.0560,1338.4190,1338.0813,1319.3472,22.9119,-55.9711,-25.2867,-61.3687,1338.4190,1565.8126,1111.0254,33.9794
2026-02-05,1058.3300,1151.0440,1222.5890,1319.1355,1333.5535,1322.2717,22.4189,-66.9809,-33.6255,-66.7107,1319.1355,1572.7318,1065.5392,38.4489
2026-02-06,1036.9900,1106.6640,1192.7890,1296.4350,1328.0737,1323.8392,21.3283,-76.5459,-42.2096,-68.6725,1296.4350,1566.0312,1026.8388,41.5904
2026-02-09,1086.8000,1075.6240,1171.4690,1275.2755,1323.1053,1325.7292,29.9006,-79.1940,-49.6065,-59.1751,1275.2755,1540.6954,1009.8556,41.6255
2026-02-10,1100.9000,1070.2040,1151.4700,1259.9160,1319.3702,1326.9951,32.1543,-79.2415,-55.5335,-47.4160,1259.9160,1528.5090,991.3230,42.6367
2026-02-11,1078.9000,1072.3840,1131.0820,1241.9050,1315.6335,1328.2884,30.5063,-80.1307,-60.4529,-39.3555,1241.9050,1508.2014,975.6086,42.8851
2026-02-12,1112.5000,1083.2180,1117.1310,1226.7800,1312.0635,1329.6426,35.9091,-77.2338,-63.8091,-26.8494,1226.7800,1485.9482,967.6118,42.2518
2026-02-13,1120.6800,1099.9560,1103.3100,1211.6115,1308.5415,1331.1984,37.1893,-73.4315,-65.7336,-15.3958,1211.6115,1457.3280,965.8950,40.5603
